31900440311210855195,Nike Dunk High - Men Shoes,SHIPPED,dhl-prime,31515280111865,https://mydhl.express.dhl/au/en/tracking.html#/results?id=31515280111865
31900440311210855195,Nike Dunk High - Men Shoes,SHIPPED,dhl-prime,31515280111865,https://mydhl.express.dhl/au/en/tracking.html#/results?id=31515280111865
31900440311210855195,Nike Dunk High - Men Shoes,SHIPPED,dhl-prime,31515280111865,https://mydhl.express.dhl/au/en/tracking.html#/results?id=31515280111865
31900440311210855195,Nike Dunk High - Men Shoes,SHIPPED,dhl-prime,31515280111865,https://mydhl.express.dhl/au/en/tracking.html#/results?id=31515280111865
31900440311210855195,Nike Dunk High - Men Shoes,SHIPPED,dhl-prime,31515280111865,https://mydhl.express.dhl/au/en/tracking.html#/results?id=31515280111865
31900440311210855195,Nike Dunk High - Men Shoes,SHIPPED,11,dhl-prime,31515280111865,https://mydhl.express.dhl/au/en/tracking.html#/results?id=31515280111865
31900440311210855195,Nike Dunk High - Men Shoes,SHIPPED,11,dhl-prime,31515280111865,https://mydhl.express.dhl/au/en/tracking.html#/results?id=31515280111865
31900440311210854492,,,CANCELLED
31900440311210854492,,,CANCELLED
31900440311210854492,,,CANCELLED
31900440311210854492,,,CANCELLED
31900440311210854492,,CANCELLED
31900440311210854492,,CANCELLED
31900440311210858623,Nike Dunk High - Men Shoes,12,SHIPPED,dhl-prime,31515280111501,https://mydhl.express.dhl/au/en/tracking.html#/results?id=31515280111501
31900440311210858908,Nike Dunk High - Men Shoes,09,SHIPPED,dhl-prime,31515280111636,https://mydhl.express.dhl/au/en/tracking.html#/results?id=31515280111636
31900440311210856125,Nike Dunk High - Men Shoes,12,SHIPPED,dhl-prime,31515280110910,https://mydhl.express.dhl/au/en/tracking.html#/results?id=31515280110910
